item_id,order_id,product_id,quantity,unit_price,discount_percent
220,288,390,5,304.17,5.0
221,115,460,4,432.73,17.85
222,407,192,5,113.95,22.3
223,424,36,4,92.53,0.29
224,221,209,4,482.91,5.61
225,172,116,5,389.86,10.79
226,273,294,2,409.24,25.29
227,116,452,5,219.24,4.36
228,480,93,1,96.74,2.25
229,248,497,2,162.76,17.97
230,72,99,5,223.83,12.43
231,236,36,3,385.55,25.74
232,324,439,1,131.29,20.51
233,407,60,1,127.12,23.55
234,284,4,1,223.03,8.96
235,157,211,4,340.14,11.45
236,40,199,5,419.77,24.45
237,374,487,1,285.57,11.79
238,36,497,2,350.48,6.35
239,233,37,4,364.03,25.91
240,27,183,3,465.27,28.24
241,7,321,1,122.15,8.17
242,285,17,2,419.48,4.54
243,251,482,5,167.58,26.33
244,409,323,4,206.22,22.11
245,432,480,2,59.94,29.69
246,308,488,4,423.16,25.64
247,370,114,1,242.59,7.88
248,331,156,4,158.15,18.07
249,88,458,3,326.11,5.08
250,205,359,3,173.18,2.01
251,310,253,5,55.97,7.07
252,27,160,5,136.66,23.11
253,316,180,3,452.19,18.49
255,336,58,3,91.61,0.98
256,216,258,3,68.36,11.87
257,141,467,3,89.14,28.8
258,496,289,1,379.89,12.99
259,44,427,4,235.61,23.01
260,275,96,5,98.59,13.53
261,302,296,2,194.1,14.1
262,458,445,4,421.31,17.55
263,165,132,2,473.78,19.61
264,479,36,3,325.43,0.08
265,234,423,1,222.14,10.62
266,113,218,2,336.44,6.5
267,345,271,5,330.07,1.63
268,23,183,4,138.3,27.79
269,342,323,2,247.9,12.15
270,151,357,3,260.78,15.89
271,470,133,2,313.38,19.21
272,491,89,5,82.53,7.59
273,103,381,2,458.97,15.62
275,385,192,1,280.06,6.84
276,192,252,1,220.94,3.41
277,467,286,3,75.07,17.17
278,380,459,5,99.07,6.24
279,213,484,3,82.74,11.97
280,57,388,5,169.47,0.23
281,69,346,5,442.38,26.77
282,246,467,3,120.58,27.45
283,94,89,5,189.0,22.09
284,453,348,3,454.05,27.23
285,17,111,2,268.96,3.54
286,318,348,5,288.36,0.19
287,295,490,3,285.22,12.74
288,351,89,1,409.44,6.47
289,427,275,4,49.21,13.13
290,49,433,4,406.9,24.7
291,485,373,4,409.52,12.28
292,91,200,4,56.57,18.08
293,381,38,3,42.74,8.68
294,13,47,4,434.96,26.26
295,138,316,1,51.7,2.73
296,381,441,1,164.32,25.35
297,315,60,5,219.16,5.69
299,346,395,5,363.2,4.18
300,468,37,5,430.57,17.9
301,30,99,2,227.95,9.04
302,293,255,3,378.97,26.56
303,172,11,2,241.21,6.2
304,174,460,4,479.84,6.94
305,317,132,1,281.36,23.99
306,312,73,5,183.6,14.93
307,105,181,4,252.25,13.75
308,453,76,2,155.72,25.17
309,452,460,3,458.68,4.67
310,109,240,2,337.29,24.27
311,447,79,3,450.55,19.49
312,171,73,1,273.64,0.61
313,368,56,2,150.06,20.57
314,234,84,4,65.6,18.46
315,17,168,1,192.63,18.06
316,104,165,1,137.6,11.8
317,452,70,4,169.26,12.57
318,393,299,5,468.12,21.69
319,412,24,4,187.17,16.99
320,481,343,2,162.92,5.41
321,277,191,4,477.14,12.31
322,8,236,1,33.96,17.84
324,193,159,2,334.6,5.21
325,231,281,1,423.87,27.73
326,403,184,2,407.54,10.53
327,483,276,4,495.26,25.98
328,430,441,2,214.91,23.42
329,85,159,4,307.49,1.8
330,121,318,4,332.94,18.13
331,304,374,3,90.41,23.14
332,61,65,4,151.14,27.34
333,499,499,1,261.38,27.19
335,324,69,2,92.7,27.6
336,369,69,3,448.72,1.05
337,4,221,3,135.99,7.73
338,237,271,2,152.3,19.58
339,194,89,2,290.01,11.16
340,119,428,4,344.22,18.19
341,116,242,4,342.81,12.56
342,213,319,5,318.68,10.16
343,277,450,2,102.62,1.69
344,308,438,5,130.11,17.2
345,318,209,2,393.05,15.27
346,81,203,5,43.02,11.34
347,453,476,1,83.42,4.45
348,254,40,2,404.31,9.79
349,454,35,2,184.89,0.66
350,299,11,4,178.33,22.73
351,156,62,5,248.31,13.92
352,198,406,2,484.66,9.78
353,252,450,4,202.41,7.77
354,318,65,4,392.54,14.96
355,466,43,4,97.82,23.34
356,195,13,4,184.81,29.2
357,339,416,3,108.65,26.42
358,276,436,4,435.34,13.15
359,287,433,4,177.03,9.2
360,159,166,1,229.38,20.71
361,305,117,3,143.85,1.19
362,251,417,5,452.67,14.76
363,370,42,4,144.43,4.13
364,117,6,5,297.58,1.77
365,394,456,1,490.65,10.11
366,454,3,2,398.47,14.83
367,490,497,3,234.48,10.32
368,344,214,5,187.17,16.95
369,240,457,2,179.66,24.64
370,77,218,4,448.17,6.88
371,452,23,4,307.93,4.64
372,426,246,2,178.07,16.68
373,44,85,1,122.23,26.87
374,457,25,2,116.93,5.35
375,20,112,3,398.13,6.86
376,165,31,2,350.5,28.28
377,47,248,2,268.67,17.33
378,321,51,2,429.08,21.1
379,430,343,4,405.68,20.29
380,173,447,4,347.77,0.03
381,278,496,5,455.2,15.67
382,381,333,3,315.56,25.64
383,424,115,5,104.17,6.96
384,379,106,4,222.85,2.64
385,383,454,2,58.9,21.48
386,155,92,4,389.16,10.82
388,49,63,1,292.97,12.01
389,321,303,2,39.77,18.33
390,477,351,1,459.49,11.99
391,307,392,4,259.2,18.54
392,264,109,2,448.48,16.05
393,302,182,1,169.72,11.63
394,357,490,2,185.07,11.72
395,149,213,1,320.6,25.76
396,188,103,2,80.43,29.5
397,369,53,2,197.07,18.71
398,126,401,1,440.05,21.91
399,412,357,5,337.0,26.94
400,77,174,2,63.8,26.03
401,394,59,3,445.94,18.52
402,477,152,1,208.73,12.61
403,397,37,4,205.05,16.16
404,487,315,1,252.82,0.74
405,400,378,5,75.9,26.09
406,405,119,2,223.33,17.75
407,274,348,3,204.86,8.79
408,282,187,1,489.62,9.81
409,385,287,3,52.5,22.46
410,370,349,3,215.85,26.47
411,24,304,3,313.09,27.16
412,476,76,5,475.88,29.05
413,250,471,3,246.91,29.63
415,316,108,4,487.56,19.68
416,418,387,3,312.02,0.55
417,471,116,2,57.42,4.69
418,411,60,3,452.03,24.58
419,218,18,4,256.31,7.53
420,89,395,4,43.21,2.7
421,14,141,1,60.78,6.38
422,123,180,4,380.38,21.45
423,415,486,4,88.18,0.89
424,62,129,2,91.92,27.35
425,159,80,1,315.71,9.53
426,167,241,4,395.86,15.77
427,309,456,4,321.08,12.42
428,366,125,1,73.95,19.9
429,50,258,1,272.16,23.82
430,354,364,5,238.87,8.67
431,208,339,1,229.15,27.22
432,377,39,5,344.34,18.68
433,458,74,3,99.3,18.24
434,3,103,5,319.43,11.67
435,89,301,2,448.68,19.72
436,441,230,5,350.87,13.85
437,472,161,2,94.81,5.17
438,214,132,1,77.09,17.95
439,482,122,4,82.77,21.05
440,322,323,3,206.33,14.32
441,304,309,3,138.26,28.0
442,156,36,2,384.88,25.04
443,426,500,1,419.64,21.94
444,28,115,1,402.03,20.79
445,218,142,4,148.81,4.69
446,304,208,4,138.87,11.1
447,21,135,5,93.9,11.87
448,104,388,5,221.63,2.77
449,385,92,5,93.24,11.64
450,111,317,2,384.67,19.02
451,41,400,5,157.55,5.92
452,35,461,4,80.25,5.48
453,288,470,1,316.94,7.95
454,477,22,1,158.24,11.54
455,122,196,5,391.92,21.94
456,74,391,1,171.05,12.98
457,29,312,2,190.06,27.9
458,129,170,5,466.35,15.65
459,52,161,1,270.84,0.09
460,263,60,4,333.84,4.73
461,270,327,1,340.05,3.7
462,248,65,1,487.45,2.8
463,179,188,5,292.92,19.22
464,342,484,4,71.94,7.81
465,25,182,3,36.19,20.96
466,162,498,4,350.48,26.92
467,271,362,2,255.14,27.34
469,226,211,2,489.38,1.18
470,108,46,1,231.27,3.22
471,485,487,1,338.38,15.41
472,133,196,5,320.39,19.41
473,406,66,2,327.8,16.16
474,346,491,5,275.36,6.22
475,211,46,3,103.69,16.93
476,57,104,5,315.56,9.17
477,270,474,1,380.31,10.65
478,35,274,3,39.48,16.36
479,167,294,5,431.53,8.91
480,116,273,4,190.63,18.13
481,408,250,2,382.02,24.95
482,141,4,1,111.91,20.72
483,125,289,4,443.98,2.52
484,263,59,2,287.47,12.21
485,374,253,5,420.56,16.47
486,377,25,5,391.69,18.8
487,241,95,5,427.72,7.68
488,84,48,1,260.0,26.28
489,283,340,1,399.06,19.06
490,295,162,3,257.45,5.47
491,52,94,1,472.08,13.95
492,439,359,5,370.89,19.63
493,254,242,3,327.03,0.98
494,357,5,3,76.77,24.92
496,352,439,4,439.89,6.2
497,268,186,5,452.65,6.83
498,461,318,2,212.98,15.9
499,402,11,1,454.22,27.74
500,200,48,1,373.33,4.52
501,326,444,5,257.02,25.34
502,374,417,1,317.59,16.41
503,436,252,3,393.65,26.39
504,84,134,2,493.56,21.37
505,123,444,2,60.52,25.15
506,154,322,3,492.48,6.71
507,374,211,4,184.76,9.47
508,397,106,1,449.73,18.03
509,345,184,3,47.99,6.01
510,98,464,1,260.56,12.73
511,200,197,3,50.0,10.8
512,228,25,5,369.37,8.23
513,193,251,4,24.66,26.51
514,402,393,1,143.38,4.69
515,344,211,4,393.06,9.55
516,246,30,5,335.7,26.12
517,235,314,3,449.28,14.54
518,133,34,1,199.05,5.67
519,435,238,2,325.44,23.84
520,212,354,2,22.06,17.78
521,101,80,2,265.41,3.31
522,166,123,3,340.92,2.62
523,45,413,5,314.11,24.33
524,372,268,4,225.66,6.29
525,199,228,3,168.45,13.2
526,482,81,3,225.99,23.44
527,146,215,1,72.12,8.71
528,432,129,1,86.03,17.59
529,12,333,5,57.86,10.44
530,20,72,3,56.29,27.9
531,24,342,1,262.89,0.49
532,269,37,2,369.03,24.77
533,282,145,2,402.78,17.56
534,393,225,2,215.45,18.31
535,173,344,2,198.43,4.58
536,500,337,3,118.65,8.67
537,82,434,4,456.05,12.93
538,45,340,4,460.21,27.94
539,252,480,3,266.13,8.62
540,90,84,5,305.79,16.8
541,151,419,4,179.64,18.96
542,286,284,2,401.81,15.67
543,210,437,1,38.49,21.1
545,362,282,1,169.01,10.96
547,441,494,4,70.33,23.81
548,124,204,2,168.22,4.89
550,20,130,5,271.03,6.66
551,8,321,2,489.49,6.04
552,67,192,2,201.31,14.84
553,301,347,4,460.11,24.0
554,165,420,2,373.9,26.75
555,85,236,1,365.98,28.06
556,358,137,5,369.01,13.04
557,376,17,4,139.14,4.13
558,452,89,5,305.57,4.72
559,350,166,1,323.05,26.18
560,432,23,4,237.87,6.05
561,239,220,5,451.32,20.47
562,13,281,3,139.47,13.56
563,461,8,2,269.21,27.09
564,197,358,4,147.99,8.2
565,193,44,4,409.74,0.5
566,448,234,4,339.95,21.23
567,176,235,4,344.7,19.11
568,94,497,5,251.9,25.18
569,156,248,4,109.16,16.93
570,421,225,2,348.34,11.4
571,166,107,2,174.05,20.81
572,58,328,3,69.9,0.14
573,495,377,1,335.74,21.9
574,413,278,4,262.55,28.91
575,83,345,3,410.88,27.09
576,40,365,2,330.47,17.32
577,292,415,4,406.07,6.55
578,109,226,3,285.77,17.41
579,386,126,1,376.73,1.91
580,131,209,3,429.04,19.82
581,41,263,2,289.27,6.89
582,363,458,4,81.47,9.89
583,232,270,4,32.83,13.93
584,48,476,5,323.41,25.21
585,221,128,2,72.64,1.07
586,425,371,4,474.0,19.24
587,297,26,3,264.01,14.96
588,159,94,2,30.16,25.25
589,227,335,4,268.97,0.77
590,41,46,1,79.3,27.93
591,59,139,5,367.05,3.17
592,356,311,4,171.86,27.47
593,478,330,4,133.13,17.47
594,498,182,5,171.77,14.02
595,141,326,4,362.9,12.49
596,83,385,2,363.69,26.25
597,443,405,4,89.9,27.35
598,293,292,1,68.49,9.89
599,467,139,1,61.5,22.75
600,170,157,3,173.87,23.15
601,41,213,3,176.1,17.37
602,220,281,2,420.62,17.18
603,295,284,1,378.58,25.07
604,30,133,4,404.82,19.4
605,412,159,5,41.69,21.92
606,470,150,2,223.53,2.47
607,260,250,1,372.01,12.6
608,457,300,2,178.85,14.56
609,94,23,1,470.87,8.38
610,349,399,5,320.23,24.56
611,415,69,2,416.65,4.87
612,49,458,1,264.84,13.73
613,478,115,5,196.15,16.42
614,392,219,2,233.3,26.69
615,415,384,4,156.82,6.31
617,354,481,2,390.91,21.96
618,230,490,2,73.47,28.59
619,333,222,4,430.81,20.27
620,180,300,3,110.65,15.6
621,457,122,3,407.53,2.56
622,317,103,1,360.6,8.86
623,6,119,2,340.16,8.72
624,362,475,1,371.98,14.52
625,335,49,2,312.01,19.85
626,74,165,2,467.88,3.84
627,240,390,2,440.35,16.68
628,498,149,3,142.66,27.13
629,353,30,3,207.08,20.04
630,224,203,1,98.08,3.3
631,27,345,4,466.69,19.09
632,231,416,2,400.99,23.04
633,94,66,2,146.2,6.78
634,304,327,3,181.04,17.39
635,61,411,2,491.75,1.14
636,32,100,3,335.6,26.19
637,277,258,5,247.07,13.31
638,393,312,5,149.64,27.46
639,358,41,3,183.04,27.37
640,326,23,5,235.0,5.08
641,166,78,2,327.64,9.89
642,482,262,1,442.33,24.78
643,368,328,3,472.22,28.07
644,475,348,2,196.05,11.2
645,365,482,1,128.84,14.36
646,423,386,2,484.37,20.94
647,337,212,4,256.41,21.2
648,242,196,4,301.0,25.5
649,15,174,3,447.44,9.79
650,242,302,5,474.97,3.49
651,202,47,5,210.16,8.94
652,437,196,4,435.82,29.41
653,21,300,1,428.02,29.06
654,36,131,2,245.78,4.41
655,395,481,3,326.56,5.45
656,432,227,5,490.89,5.42
657,438,188,5,413.23,11.16
658,187,186,1,302.22,6.13
659,233,268,2,338.45,6.78
660,449,49,5,217.24,21.31
661,299,15,5,458.78,23.19
662,363,393,4,300.74,0.23
663,97,372,5,498.53,9.34
664,418,263,1,242.23,17.97
665,338,240,1,378.69,1.52
666,344,127,1,270.73,17.91
667,50,15,4,90.7,1.71
668,218,315,2,471.76,25.48
669,421,107,5,136.94,9.17
670,135,362,2,213.56,14.45
671,136,94,5,27.33,23.49
672,54,4,5,247.92,0.44
673,371,218,5,226.34,12.2
674,255,335,5,178.99,4.71
675,197,102,3,280.28,9.74
676,36,396,2,282.24,15.5
677,429,319,5,343.71,19.07
678,42,310,3,87.18,26.89
679,13,240,5,329.39,6.54
680,70,94,1,138.94,17.55
681,157,131,4,114.14,24.42
682,178,471,5,472.56,20.03
683,382,387,5,212.05,11.25
684,488,336,1,173.66,29.73
685,44,352,1,391.32,15.33
686,11,391,5,323.47,17.97
687,394,35,5,478.95,6.38
688,251,86,5,282.76,17.3
689,135,136,3,337.18,10.68
690,89,231,5,101.71,13.5
691,486,226,5,205.32,14.08
692,388,14,4,479.95,9.83
693,377,60,2,69.96,13.33
694,419,447,1,46.29,2.98
695,367,105,3,216.85,7.84
696,43,154,2,275.39,25.82
697,489,435,4,102.72,5.1
698,135,99,3,195.9,14.77
699,307,206,5,184.35,23.83
700,414,374,3,177.86,7.45
