product_id,product_name,category,subcategory,cost_price
321,Industry,Books,leave,123.5
322,Generation,Clothing,my,764.45
323,Tv,Home,other,116.32
324,Land,Books,teacher,783.02
325,Pressure,Home,travel,546.02
326,First,Electronics,home,666.66
327,Person,Home,message,764.8
328,Stage,Clothing,article,841.36
329,Reduce,Home,owner,325.14
330,Owner,Home,investment,30.18
331,Anything,Home,partner,543.96
332,Learn,Books,once,780.05
333,Tend,Home,middle,280.37
334,Gas,Books,head,989.01
335,Pattern,Clothing,subject,820.89
336,Likely,Electronics,relate,507.78
337,Cell,Books,daughter,993.81
338,Third,Home,represent,912.64
339,Business,Books,compare,916.42
340,Soon,Electronics,baby,81.44
341,Author,Home,environmental,838.77
342,Without,Electronics,wonder,624.96
343,Site,Clothing,politics,519.91
344,Director,Books,term,982.59
345,True,Books,morning,215.96
346,Soldier,Electronics,middle,541.42
347,Argue,Electronics,other,315.99
348,Threat,Home,life,87.68
349,Production,Electronics,reason,590.76
350,Property,Books,happy,808.35
351,You,Electronics,per,455.03
352,Seven,Electronics,husband,522.14
353,Popular,Books,themselves,265.07
354,Radio,Home,religious,373.89
355,Name,Electronics,gas,738.45
356,Drop,Electronics,develop,721.14
357,Main,Books,receive,517.54
358,Health,Books,authority,218.37
359,Tend,Home,against,671.66
360,Quickly,Electronics,among,987.79
361,Work,Books,fall,756.28
362,Affect,Home,sport,719.61
363,Agent,Books,expect,75.28
364,Nor,Books,yourself,348.66
365,Professor,Books,him,657.94
366,Happy,Electronics,very,977.49
367,By,Books,avoid,260.89
368,Mind,Clothing,national,707.66
369,Voice,Books,out,907.8
370,My,Clothing,personal,761.24
371,For,Clothing,throughout,132.11
372,Prepare,Electronics,only,762.17
373,Moment,Home,recent,158.75
374,Design,Home,trial,674.11
375,Often,Books,black,244.07
376,Eat,Electronics,land,320.71
377,War,Books,better,265.29
378,Manage,Home,east,592.66
379,Move,Home,better,984.24
380,Modern,Books,safe,709.9
381,Senior,Electronics,guy,446.75
382,Election,Clothing,foot,753.34
383,Indeed,Books,music,208.63
384,Minute,Clothing,eye,968.27
385,Test,Electronics,now,357.59
386,Soon,Electronics,home,617.55
387,Page,Clothing,former,881.31
388,Young,Clothing,example,31.59
389,Assume,Home,national,869.78
390,A,Electronics,measure,514.69
391,Wonder,Clothing,represent,841.38
392,Consumer,Books,from,436.44
393,Room,Electronics,pull,733.05
394,Talk,Books,hold,802.15
395,Beat,Clothing,case,665.24
396,Ten,Books,maybe,219.87
397,Trip,Electronics,garden,881.73
398,Through,Electronics,thank,967.24
399,Themselves,Books,professional,972.39
400,Nothing,Books,city,211.65
401,Live,Electronics,Mrs,213.93
402,Help,Home,population,596.2
403,Bed,Clothing,rather,573.02
404,Himself,Electronics,society,818.43
405,Establish,Clothing,beat,956.33
406,Care,Home,fast,916.15
407,Old,Clothing,news,399.24
408,Discover,Books,door,417.12
409,Director,Books,research,161.53
410,Public,Electronics,smile,571.39
411,Task,Books,knowledge,107.97
412,Why,Home,simply,218.36
413,Already,Electronics,conference,327.97
414,Friend,Electronics,choice,71.23
415,Whole,Books,each,446.25
416,Young,Electronics,its,465.47
417,Half,Clothing,Congress,371.51
418,Answer,Clothing,us,620.82
419,Card,Electronics,company,206.56
420,Raise,Home,maybe,977.16
421,Cultural,Books,pull,237.39
422,Push,Home,result,276.0
423,My,Electronics,spend,919.87
424,Experience,Clothing,camera,531.6
425,Heart,Clothing,just,726.88
426,Truth,Electronics,product,460.0
427,Big,Books,information,975.87
428,Heavy,Home,next,334.43
429,Community,Electronics,election,290.0
430,Economy,Books,structure,596.02
431,Want,Clothing,off,178.33
432,Example,Books,region,763.17
433,Thank,Home,computer,238.47
434,Well,Home,local,606.43
435,Finish,Clothing,fact,474.95
436,Future,Clothing,side,123.93
437,Actually,Home,down,613.39
438,Simple,Electronics,cell,351.95
439,Open,Home,control,861.97
440,His,Clothing,night,237.76
441,Employee,Clothing,white,478.48
442,Yes,Clothing,fine,10.94
443,Sister,Home,across,212.33
444,Three,Electronics,student,260.14
445,Per,Clothing,student,209.04
446,Official,Books,market,801.05
447,Class,Electronics,federal,623.43
448,Magazine,Electronics,unit,737.74
449,Culture,Clothing,by,950.9
450,Rate,Books,respond,406.51
451,Street,Home,life,810.79
452,Us,Books,wonder,35.28
453,Over,Clothing,collection,810.62
454,Cause,Books,surface,978.59
455,Gas,Home,sign,857.27
456,Region,Home,voice,231.34
457,Water,Clothing,wide,341.79
458,Agency,Books,Democrat,980.7
459,One,Clothing,style,73.23
460,First,Books,resource,849.94
461,Beyond,Electronics,like,22.07
462,Window,Clothing,yard,253.93
463,Build,Clothing,recent,42.9
464,Who,Clothing,that,985.07
465,Coach,Electronics,vote,451.14
466,Claim,Electronics,number,168.93
467,Keep,Books,buy,116.62
468,Admit,Books,behavior,994.87
469,Direction,Electronics,main,394.37
470,Picture,Electronics,four,759.71
471,Show,Electronics,nice,663.87
472,Market,Books,west,933.82
473,Age,Home,environment,936.32
474,Skin,Books,heavy,997.94
475,Modern,Clothing,plant,384.49
476,Door,Electronics,medical,575.73
477,Purpose,Electronics,everyone,190.02
478,Piece,Electronics,call,824.27
479,Force,Home,miss,142.25
480,Final,Electronics,almost,73.83
481,Even,Books,wide,494.83
482,Vote,Books,section,225.97
483,President,Clothing,without,959.49
484,Travel,Books,central,458.12
485,Pm,Clothing,standard,313.78
486,Campaign,Clothing,issue,368.13
487,Participant,Home,including,299.83
488,Heart,Books,market,117.71
489,Produce,Electronics,finish,72.31
490,Quickly,Electronics,during,536.31
491,Through,Books,as,129.86
492,Popular,Home,common,300.1
493,Free,Electronics,including,956.21
494,Sing,Clothing,without,109.34
495,Pm,Books,mind,58.82
496,Bag,Electronics,necessary,590.26
497,Player,Electronics,attack,941.71
498,West,Home,size,523.84
499,Ahead,Home,single,288.31
500,Get,Electronics,loss,664.3
